Id	LST	M3	M3_abs
TCGA-A1-A0SD	8	0	0
TCGA-A1-A0SE	4	0	0
TCGA-A1-A0SF	13	0	0
TCGA-A1-A0SG	5	0	0
TCGA-A1-A0SH	16	0.127721216	12.7721216
TCGA-A1-A0SI	8	0	0
TCGA-A1-A0SJ	12	0	0
TCGA-A1-A0SK	22	0.138992357	13.8992357
TCGA-A1-A0SM	5	0	0
TCGA-A1-A0SN	10	0.184928298	18.4928298
TCGA-A1-A0SO	34	NA	NA
TCGA-A1-A0SP	10	0	0
TCGA-A2-A04N	0	0	0
TCGA-A2-A04P	33	0.754457789	75.4457789
TCGA-A2-A04Q	16	0	0
TCGA-A2-A04R	17	0.031021001	3.1021001
TCGA-A2-A04T	35	0.613193252	61.3193252
TCGA-A2-A04U	16	0.020002732	2.0002732
TCGA-A2-A04V	2	0	0
TCGA-A2-A04W	16	0	0
TCGA-A2-A04X	7	0	0
TCGA-A2-A04Y	7	0.163615998	16.3615998
TCGA-A2-A0CK	14	0	0
TCGA-A2-A0CM	20	0	0
TCGA-A2-A0CO	8	0	0
TCGA-A2-A0CP	14	0	0
TCGA-A2-A0CQ	0	0.228788523	22.8788523
TCGA-A2-A0CR	3	0	0
TCGA-A2-A0CS	14	0	0
TCGA-A2-A0CT	11	0	0
TCGA-A2-A0CU	11	0.274954396	27.4954396
TCGA-A2-A0CV	9	0	0
TCGA-A2-A0CW	12	0.103853277	10.3853277
TCGA-A2-A0CX	16	0.009435867	0.9435867
TCGA-A2-A0D0	32	0.423490317	42.3490317
TCGA-A2-A0D1	11	0	0
TCGA-A2-A0D2	32	0.669717804	66.9717804
TCGA-A2-A0D3	1	0	0
TCGA-A2-A0D4	18	0.131914062	13.1914062
TCGA-A2-A0EM	1	0	0
TCGA-A2-A0EN	3	0	0
TCGA-A2-A0EO	2	0	0
TCGA-A2-A0EQ	17	0	0
TCGA-A2-A0ER	1	0.023617322	2.3617322
TCGA-A2-A0ET	4	0	0
TCGA-A2-A0EU	1	0	0
TCGA-A2-A0EV	9	0.11888772	11.888772
TCGA-A2-A0EW	8	0	0
TCGA-A2-A0EX	6	0	0
TCGA-A2-A0EY	24	0	0
TCGA-A2-A0SU	5	0	0
TCGA-A2-A0SV	11	0	0
TCGA-A2-A0SW	19	0.08176549	8.176549
TCGA-A2-A0SX	11	0	0
TCGA-A2-A0SY	3	0	0
TCGA-A2-A0T0	47	0.511611794	51.1611794
TCGA-A2-A0T2	9	0	0
TCGA-A2-A0T3	9	0.077257564	7.7257564
TCGA-A2-A0T4	1	0.317500179	31.7500179
TCGA-A2-A0T5	0	NA	NA
TCGA-A2-A0T6	3	0.95195062	95.195062
TCGA-A2-A0T7	12	0	0
TCGA-A2-A0YC	11	0.025412219	2.5412219
TCGA-A2-A0YD	3	0	0
TCGA-A2-A0YE	12	0.062178607	6.2178607
TCGA-A2-A0YF	4	0	0
TCGA-A2-A0YG	13	0.137447594	13.7447594
TCGA-A2-A0YH	12	0.049408186	4.9408186
TCGA-A2-A0YI	2	0	0
TCGA-A2-A0YJ	19	0.351071079	35.1071079
TCGA-A2-A0YK	3	0	0
TCGA-A2-A0YL	6	0	0
TCGA-A2-A0YM	18	0	0
TCGA-A2-A0YT	10	0	0
TCGA-A2-A1FV	14	0	0
TCGA-A2-A1FW	19	0	0
TCGA-A2-A1FX	6	0	0
TCGA-A2-A1FZ	7	0	0
TCGA-A2-A1G0	4	0	0
TCGA-A2-A1G1	9	0.065010758	6.5010758
TCGA-A2-A1G4	5	0	0
TCGA-A2-A1G6	0	0.026791013	2.6791013
TCGA-A2-A259	5	0.107405157	10.7405157
TCGA-A2-A25A	4	0	0
TCGA-A2-A25B	34	0.390273205	39.0273205
TCGA-A2-A25C	4	0	0
TCGA-A2-A25D	20	0	0
TCGA-A2-A25E	29	0.453028118	45.3028118
TCGA-A2-A3KC	2	0	0
TCGA-A2-A3KD	8	0	0
TCGA-A2-A3XS	20	0	0
TCGA-A2-A3XT	21	0.501054365	50.1054365
TCGA-A2-A3XU	4	0	0
TCGA-A2-A3XV	6	0	0
TCGA-A2-A3XW	0	0	0
TCGA-A2-A3XX	8	0	0
TCGA-A2-A3XZ	16	0.195821178	19.5821178
TCGA-A2-A3Y0	34	0.56933243	56.933243
TCGA-A2-A4RW	26	0.084778648	8.4778648
TCGA-A2-A4RX	1	0	0
TCGA-A2-A4RY	0	0.12216027	12.216027
TCGA-A2-A4S0	0	0	0
TCGA-A2-A4S1	20	0.258053131	25.8053131
TCGA-A2-A4S2	6	0	0
TCGA-A2-A4S3	26	0.156764362	15.6764362
TCGA-A7-A0CD	9	0.008523327	0.8523327
TCGA-A7-A0CE	26	0.487190617	48.7190617
TCGA-A7-A0CG	4	0.055983699	5.5983699
TCGA-A7-A0CH	1	0.107647838	10.7647838
TCGA-A7-A0CJ	19	0.200615269	20.0615269
TCGA-A7-A0D9	3	0	0
TCGA-A7-A0DA	38	0.657916809	65.7916809
TCGA-A7-A0DB	2	0	0
TCGA-A7-A13D	17	0.590743103	59.0743103
TCGA-A7-A13E	10	0.257343108	25.7343108
TCGA-A7-A13F	1	0	0
TCGA-A7-A13G	14	0.259191606	25.9191606
TCGA-A7-A13H	4	0	0
TCGA-A7-A26E	1	0	0
TCGA-A7-A26F	14	0	0
TCGA-A7-A26G	20	0	0
TCGA-A7-A26H	12	0	0
TCGA-A7-A26J	15	0	0
TCGA-A7-A2KD	21	0.010660109	1.0660109
TCGA-A7-A3IY	6	0.147023283	14.7023283
TCGA-A7-A3IZ	6	0.052626153	5.2626153
TCGA-A7-A3J0	0	0	0
TCGA-A7-A3J1	10	0	0
TCGA-A7-A3RF	0	0	0
TCGA-A7-A425	4	0	0
TCGA-A7-A426	2	0	0
TCGA-A7-A4SA	33	0.31521861	31.521861
TCGA-A7-A4SB	3	0.268677909	26.8677909
TCGA-A7-A4SD	15	0	0
TCGA-A7-A4SE	21	0.437763302	43.7763302
TCGA-A7-A4SF	14	0.098010009	9.8010009
TCGA-A7-A56D	16	0.143744808	14.3744808
TCGA-A7-A5ZV	23	0.303430058	30.3430058
TCGA-A7-A5ZW	0	0	0
TCGA-A7-A5ZX	6	0	0
TCGA-A7-A6VV	17	NA	NA
TCGA-A7-A6VW	23	NA	NA
TCGA-A7-A6VX	32	NA	NA
TCGA-A7-A6VY	38	NA	NA
TCGA-A8-A06N	15	0	0
TCGA-A8-A06O	16	0	0
TCGA-A8-A06P	5	0	0
TCGA-A8-A06Q	17	0.042463708	4.2463708
TCGA-A8-A06R	25	0.164669842	16.4669842
TCGA-A8-A06T	13	0	0
TCGA-A8-A06U	19	0	0
TCGA-A8-A06X	27	0.389559354	38.9559354
TCGA-A8-A06Y	3	0	0
TCGA-A8-A06Z	15	0.420253054	42.0253054
TCGA-A8-A075	28	0.399477929	39.9477929
TCGA-A8-A076	25	0.18483993	18.483993
TCGA-A8-A079	26	0	0
TCGA-A8-A07B	7	0	0
TCGA-A8-A07E	11	0	0
TCGA-A8-A07G	21	0.292639686	29.2639686
TCGA-A8-A07I	10	0.100132557	10.0132557
TCGA-A8-A07J	2	0	0
TCGA-A8-A07L	27	0.21323176	21.323176
TCGA-A8-A07O	9	0	0
TCGA-A8-A07P	10	0	0
TCGA-A8-A07R	45	0.450582827	45.0582827
TCGA-A8-A07U	14	0	0
TCGA-A8-A07W	27	0.200001767	20.0001767
TCGA-A8-A07Z	13	0	0
TCGA-A8-A081	13	0.184790951	18.4790951
TCGA-A8-A082	4	0	0
TCGA-A8-A083	2	0	0
TCGA-A8-A084	17	0	0
TCGA-A8-A085	21	0.242692614	24.2692614
TCGA-A8-A086	5	0	0
TCGA-A8-A08A	5	0.016134367	1.6134367
TCGA-A8-A08B	15	0	0
TCGA-A8-A08C	0	NA	NA
TCGA-A8-A08F	37	0.150543327	15.0543327
TCGA-A8-A08G	14	0	0
TCGA-A8-A08I	17	0.272448682	27.2448682
TCGA-A8-A08J	18	0	0
TCGA-A8-A08L	37	0.35759594	35.759594
TCGA-A8-A08O	24	0	0
TCGA-A8-A08P	23	0	0
TCGA-A8-A08R	37	0.456839316	45.6839316
TCGA-A8-A08S	10	0.099079153	9.9079153
TCGA-A8-A08T	3	0.103224102	10.3224102
TCGA-A8-A08X	30	0	0
TCGA-A8-A08Z	11	0	0
TCGA-A8-A090	24	0	0
TCGA-A8-A091	15	0	0
TCGA-A8-A092	10	0	0
TCGA-A8-A093	11	0	0
TCGA-A8-A094	38	0.123070789	12.3070789
TCGA-A8-A095	11	0	0
TCGA-A8-A096	12	0.01724639	1.724639
